MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
55.9,68.0,69.2,8.7,74.1,1022.0,63.4,No
55.8,71.7,73.3,11.2,78.6,1015.1,64.1,Yes
60.1,67.3,328.1,14.9,90.6,1001.9,63.2,Yes
56.0,75.3,266.6,13.1,79.8,1011.9,65.2,Yes
49.2,70.0,297.4,6.8,78.7,1019.2,59.6,No
49.5,63.8,55.9,5.8,88.6,1020.3,57.0,Yes
56.0,70.0,10.5,12.4,88.7,1013.7,60.1,Yes
52.2,69.6,53.8,9.1,77.5,1019.5,60.4,Yes
49.1,69.8,79.2,8.5,77.1,1022.6,59.2,No
55.1,67.8,279.2,9.9,70.4,1019.0,60.7,No
43.1,66.1,79.6,15.1,69.9,1020.3,55.1,Yes
45.8,50.8,48.3,12.8,89.7,1020.2,47.4,Yes
42.4,63.2,301.5,7.9,71.1,1019.2,51.0,No
37.3,68.8,64.1,5.2,67.8,1024.1,51.9,No
44.4,66.2,87.2,8.5,67.8,1027.9,56.1,No
43.7,63.7,100.1,11.2,67.0,1026.4,52.8,No
39.5,66.0,338.1,4.8,72.2,1023.7,53.2,No
41.2,67.3,42.3,6.4,73.4,1021.9,54.6,No
42.2,65.7,302.9,7.7,79.8,1017.8,53.0,No
38.2,59.1,294.7,9.0,69.1,1017.0,48.8,No
34.4,58.6,318.1,13.5,63.5,1020.4,47.2,No
33.5,59.8,311.5,8.8,59.5,1026.4,46.2,No
36.1,64.3,140.4,6.9,69.8,1027.9,49.4,No
39.7,66.1,226.2,12.6,71.5,1022.2,54.1,Yes
39.4,60.8,295.7,14.2,56.6,1025.7,51.0,No
32.1,59.8,333.9,6.3,60.5,1029.1,46.5,No
38.6,60.1,201.4,10.3,69.1,1022.0,51.0,Yes
47.7,67.9,245.6,13.8,70.8,1015.9,58.0,Yes
37.0,58.6,300.4,8.5,47.6,1027.7,46.4,No
33.3,66.0,61.0,8.5,53.9,1029.3,47.7,No
34.4,61.4,163.7,7.1,69.8,1024.5,51.6,No
51.3,64.4,212.5,8.8,84.0,1020.5,57.7,Yes
40.9,60.7,243.4,6.6,75.3,1020.2,50.9,No
43.6,58.9,244.0,5.8,78.1,1023.5,51.9,Yes
34.4,59.2,346.3,6.8,69.2,1030.2,46.2,No
39.2,50.2,62.7,14.8,77.1,1032.1,47.4,Yes
44.3,48.4,76.9,14.7,57.2,1036.7,47.2,No
45.6,59.1,78.5,8.9,60.9,1033.9,51.4,No
43.4,61.0,100.7,10.5,71.9,1027.2,54.0,Yes
52.0,55.3,278.8,10.9,91.1,1017.5,53.5,Yes
40.3,56.1,301.5,7.0,81.4,1021.5,48.4,No
37.1,54.6,312.4,12.4,69.7,1025.6,45.6,No
32.2,51.9,286.2,7.8,65.9,1027.8,41.8,No
31.9,51.6,290.8,9.1,61.6,1028.6,41.6,No
29.6,55.2,71.8,8.2,66.4,1029.0,42.2,No
37.7,53.5,250.9,10.9,81.7,1022.8,46.6,Yes
34.9,49.6,295.7,15.5,63.0,1021.1,43.0,Yes
28.3,44.1,308.7,10.4,59.7,1021.0,36.1,No
26.3,47.0,336.9,5.6,59.3,1023.5,37.0,No
40.2,53.4,116.9,8.5,73.6,1020.6,45.4,Yes
32.2,44.9,334.5,7.8,88.2,1022.3,40.0,No
31.1,54.7,58.6,4.4,85.4,1023.9,41.1,No
39.9,55.3,300.4,8.0,81.1,1020.6,48.0,Yes
21.9,46.7,301.4,13.6,67.6,1024.1,34.2,No
19.1,32.2,321.8,10.6,53.2,1029.9,24.5,No
14.8,34.2,343.2,5.6,68.8,1027.1,26.4,Yes
24.8,40.5,293.5,9.8,69.7,1025.4,32.4,No
20.9,49.8,109.2,7.7,70.1,1023.8,36.7,No
34.0,53.7,260.9,14.5,72.3,1019.4,46.6,Yes
27.4,53.6,96.0,10.3,72.2,1020.5,42.4,Yes
34.3,51.5,298.6,11.0,78.1,1017.2,44.3,Yes
26.8,53.3,92.2,7.8,77.5,1022.7,39.4,No
38.9,49.4,299.1,5.1,79.0,1017.2,44.9,Yes
31.6,47.8,290.7,12.2,77.6,1018.4,40.0,Yes
24.9,36.8,293.5,11.3,64.3,1024.0,30.5,No
21.5,33.6,299.3,9.4,73.7,1025.5,28.0,No
14.4,28.1,302.2,13.9,46.9,1029.4,20.6,No
10.4,26.3,309.1,7.6,49.1,1036.2,16.8,No
13.1,28.2,314.5,9.1,55.8,1036.6,20.7,No
12.3,32.7,333.9,13.3,46.9,1039.6,21.4,No
9.4,31.8,30.5,6.4,55.1,1041.1,21.3,No
16.0,40.4,286.0,7.9,59.6,1036.1,28.1,No
23.2,42.4,289.7,7.7,70.2,1032.4,32.1,No
26.8,42.9,150.1,7.7,77.8,1029.6,35.8,No
33.6,50.4,149.3,6.1,74.8,1025.5,41.1,No
35.0,50.6,305.1,9.0,86.0,1024.1,42.3,No
27.9,50.6,51.2,8.1,74.3,1028.7,39.3,No
34.0,46.2,143.0,10.0,69.3,1025.0,40.8,No
27.8,40.7,289.3,11.0,68.0,1025.1,34.2,No
22.2,40.8,287.9,10.0,59.4,1027.7,31.9,No
17.0,42.4,347.1,7.8,62.8,1031.8,29.3,No
22.8,39.1,71.4,7.4,80.5,1029.2,31.8,Yes
20.4,43.3,309.4,13.7,68.4,1027.9,30.3,No
15.5,33.6,313.5,10.0,52.7,1031.8,25.1,No
14.9,38.6,345.9,4.0,70.0,1030.8,27.5,No
28.2,35.5,164.9,4.8,89.5,1021.8,32.7,Yes
23.5,40.3,283.2,14.6,76.5,1015.6,33.1,Yes
18.8,37.0,297.7,14.2,67.2,1015.6,27.2,No
18.0,35.5,291.3,9.2,52.1,1021.7,26.8,No
26.8,50.1,187.2,6.6,80.0,1021.0,36.4,No
29.3,49.8,187.7,10.2,83.2,1018.6,41.6,No
21.8,45.1,285.3,15.2,60.5,1016.8,34.9,No
16.8,31.9,303.8,12.8,43.4,1024.8,23.2,No
13.9,33.2,288.1,9.8,47.8,1024.9,22.7,No
14.1,38.6,269.0,11.2,69.3,1020.7,25.8,Yes
11.8,30.0,289.0,13.4,47.1,1021.4,22.2,No
10.8,28.5,310.1,13.9,45.1,1026.0,19.4,No
9.5,35.7,315.2,7.8,58.2,1027.8,23.8,No
19.3,42.2,276.9,9.1,66.8,1025.5,29.2,No
16.0,38.9,288.5,7.6,63.8,1027.8,27.7,No
18.8,38.7,287.1,11.6,66.0,1025.2,28.1,No
14.0,33.4,299.9,11.1,48.3,1026.0,23.4,No
18.8,40.6,326.1,7.3,57.6,1023.8,29.1,No
21.6,36.9,113.9,21.7,70.2,1022.8,31.1,No
32.1,39.5,9.5,5.5,86.9,1015.3,35.1,Yes
